Tarih,Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,RSI,StochRSI,TSI
2026-07-17 21:34,POLTK,4955.0,🔴 Düşüş Trendinde,🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 5161.88 (%4.2 üstte),-,9152.50-12700.00 (%84.7 üstte),41.73,51.04,-0.58
2026-07-17 21:34,PRDGS,6.81,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 6.64 (%2.5 altta) | EMA55 Direnç: 6.90 (%1.3 üstte),4.35-5.32 (%21.9 altta),-,45.91,0.24,-0.73
2026-07-17 21:34,PRKAB,34.28,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,🚨Fiyat Bandın Altında!,EMA200 Direnç: 34.35 (%0.2 üstte),25.46-26.94 (%21.4 altta),-,41.16,0.0,-0.72
2026-07-17 21:34,PRKME,18.19,🟢 Yükseliş Trendinde,⏳ BEKLE,🔴 ZAYIFLAMA (Zaten Dipte),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 16.87 (%7.3 altta) | EMA100 Direnç: 18.84 (%3.6 üstte),15.80-16.70 (%8.2 altta),23.04-25.51 (%26.7 üstte),47.48,51.92,-0.0
2026-07-17 21:34,PRZMA,69.65,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),🩸 SAT (Zirveden Dönüş),-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 64.52 (%7.4 altta),11.07-13.97 (%79.9 altta),-,80.13,75.59,0.92
2026-07-17 21:34,PSDTC,125.8,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),🔴 ZAYIFLAMA (Zaten Dipte),-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 115.77 (%8.0 altta) | EMA55 Direnç: 126.87 (%0.9 üstte),-,-,47.45,58.25,-0.28
2026-07-17 21:34,PSGYO,3.29,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 3.10 (%5.8 altta) | EMA5 Direnç: 3.34 (%1.5 üstte),-,-,54.84,24.63,0.54
2026-07-17 21:34,QNBFK,51.9,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 50.41 (%2.9 altta) | EMA100 Direnç: 55.25 (%6.5 üstte),31.20-33.76 (%35.0 altta),-,58.62,100.0,0.35
2026-07-17 21:34,QNBTR,209.2,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 173.77 (%16.9 altta) | EMA5 Direnç: 213.50 (%2.1 üstte),-,-,35.22,18.44,-0.9
2026-07-17 21:34,QUAGR,3.41,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 3.65 (%7.1 üstte),-,-,43.69,21.23,-0.29
2026-07-17 21:34,RALYH,243.2,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 225.95 (%7.1 altta),-,-,53.28,24.48,-0.8
2026-07-17 21:34,RAYSG,170.6,🔴 Düşüş Trendinde,🔴 SAT,-,🟢 POTANSİYEL DİP,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,🚨Fiyat Bandın Altında!,EMA5 Direnç: 180.34 (%5.7 üstte),-,640.50-800.00 (%275.4 üstte),33.76,21.97,-0.81
2026-07-17 21:34,REEDR,6.96,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 6.85 (%1.5 altta) | EMA21 Direnç: 7.25 (%4.1 üstte),-,9.93-11.42 (%42.7 üstte),45.92,14.88,-0.81
2026-07-17 21:34,RGYAS,203.0,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,-,-,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 198.14 (%2.4 altta),-,-,64.82,21.14,0.62
2026-07-17 21:34,RNPOL,2.46,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 2.24 (%8.8 altta) | EMA21 Direnç: 2.50 (%1.6 üstte),-,-,50.12,12.61,-0.76
2026-07-17 21:34,RODRG,24.76,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 23.12 (%6.6 altta) | EMA21 Direnç: 24.94 (%0.7 üstte),-,-,50.83,41.75,0.29
