Tarih,Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI,BB_Bant_Durum,EMA_Durumu
2026-08-21 20:50,AGESA,241.4,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 239.61 (%0.7 altta),-,-,,53.17,56.06,-0.45,0,8.06
2026-08-21 20:50,AGHOL,31.42,🔴 Düşüş Trendinde,🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 31.42 (%0.0 altta) | EMA5 Direnç: 31.43 (%0.0 üstte),-,-,,37.33,13.16,-0.89,0,0.01
2026-08-21 20:50,AGROT,2.52,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 2.46 (%2.5 altta) | EMA5 Direnç: 2.53 (%0.5 üstte),-,3.16-3.28 (%25.4 üstte),,52.27,83.27,0.65,0,2.59
2026-08-21 20:50,AGYO,7.29,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 7.32 (%0.4 üstte),6.90-7.13 (%2.2 altta),8.14-8.79 (%11.7 üstte),,41.01,61.8,-0.1,0,-0.44
2026-08-21 20:50,AHGAZ,33.36,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 33.30 (%0.2 altta) | EMA21 Direnç: 33.42 (%0.2 üstte),-,-,,48.69,89.87,0.65,0,10.97
2026-08-21 20:50,AHSGY,19.26,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 19.12 (%0.7 altta) | EMA100 Direnç: 19.46 (%1.0 üstte),17.24-19.48 (fiyat bandın içinde!),24.19-26.14 (%25.6 üstte),,50.37,63.96,0.01,0,6.81
2026-08-21 20:50,AKBNK,69.7,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 69.45 (%0.4 altta) | EMA100 Direnç: 70.37 (%1.0 üstte),55.04-58.43 (%16.2 altta),86.96-90.21 (%24.8 üstte),,54.65,84.39,0.66,0,2.13
2026-08-21 20:50,AKCNS,241.4,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 239.95 (%0.6 altta) | EMA5 Direnç: 242.78 (%0.6 üstte),234.00-238.90 (%1.0 altta),-,,54.53,33.71,0.53,0,24.16
2026-08-21 20:50,AKENR,10.73,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 10.66 (%0.6 altta) | EMA55 Direnç: 10.97 (%2.3 üstte),-,12.77-14.09 (%19.0 üstte),,51.5,65.13,0.67,0,1.61
2026-08-21 20:50,AKFGY,2.64,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 2.62 (%0.8 altta) | EMA21 Direnç: 2.66 (%0.9 üstte),2.50-2.60 (%1.5 altta),-,,44.25,69.21,-0.77,0,0.86
